Product_ID,Product_Name,Category,Therapeutic_Area,SKU,Manufacturing_Date,Expiry_Date,Batch_Number,Warehouse_Location,Current_Stock,Minimum_Stock,Maximum_Stock,Reorder_Point,Units_Ordered,Units_Received,Units_Sold,Units_Expired,Units_Returned,Stock_Turnover_Rate,Storage_Temperature,Storage_Condition,Supplier_Name,Supplier_Country,Cost_Per_Unit_LEI,Selling_Price_LEI,Profit_Margin,Last_Updated,Status,Quality_Control_Status,Regulatory_Compliance
PROD-001,CardioMax,Prescription,Cardiovascular,CAR-001-100MG,2024-01-15,2027-01-15,BATCH-2024-001,București Central,1250,500,2000,750,0,0,150,0,5,12.5,2-8°C,Refrigerated,MedPharm RO,România,210.00,300.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-002,NeuroVent,Prescription,Neurology,NEU-002-50MG,2024-01-10,2026-01-10,BATCH-2024-002,Cluj Regional,890,300,1500,450,500,500,89,0,2,15.2,Room Temp,Standard,NeuroPharm RO,România,280.00,400.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-003,ImmunoBoost,Prescription,Immunology,IMM-003-200MG,2024-01-20,2027-01-20,BATCH-2024-003,Timișoara Regional,2340,800,3000,1200,0,0,234,0,8,10.8,2-8°C,Refrigerated,ImmunoPharm RO,România,350.00,500.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-004,OncoTarget,Prescription,Oncology,ONC-004-25MG,2024-01-05,2025-01-05,BATCH-2024-004,Iași Regional,670,200,1000,400,300,300,67,0,1,18.5,-20°C,Freezer,OncoPharm RO,România,420.00,600.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-005,RespiraMax,Prescription,Respiratory,RES-005-100MG,2024-01-12,2026-01-12,BATCH-2024-005,Constanța Regional,1230,400,2000,800,0,0,123,0,3,11.2,Room Temp,Standard,RespiraPharm RO,România,175.00,250.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-006,EndoCare,Prescription,Endocrinology,END-006-500MG,2024-01-18,2027-01-18,BATCH-2024-006,Brașov Regional,1780,600,2500,1200,0,0,178,0,4,13.1,Room Temp,Standard,EndoPharm RO,România,245.00,350.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-007,DermaCure,Prescription,Dermatology,DER-007-10MG,2024-01-08,2026-01-08,BATCH-2024-007,Sibiu Regional,1560,500,2000,1000,0,0,156,0,6,12.8,Room Temp,Standard,DermaPharm RO,România,140.00,200.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-008,PsychoMed,Prescription,Psychiatry,PSY-008-20MG,2024-01-25,2027-01-25,BATCH-2024-008,Craiova Regional,980,300,1500,600,400,400,98,0,2,16.3,Room Temp,Standard,PsychoPharm RO,România,175.00,250.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-009,GastroHeal,Prescription,Gastroenterology,GAS-009-40MG,2024-01-14,2026-01-14,BATCH-2024-009,Galați Regional,1340,400,2000,800,0,0,134,0,3,11.9,Room Temp,Standard,GastroPharm RO,România,210.00,300.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-010,VitaBoost,OTC,Vitamins,VIT-010-1000IU,2024-01-22,2028-01-22,BATCH-2024-010,Ploiești Regional,4560,1000,5000,1500,0,0,456,0,12,8.9,Room Temp,Standard,VitaPharm RO,România,35.00,50.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-011,PainRelief,OTC,Analgesics,PAI-011-500MG,2024-01-16,2026-01-16,BATCH-2024-011,Bacău Regional,7890,2000,8000,3000,0,0,789,0,25,7.8,Room Temp,Standard,PainPharm RO,România,17.50,25.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-012,ColdCare,OTC,Cold & Flu,COL-012-250MG,2024-01-19,2026-01-19,BATCH-2024-012,Pitești Regional,5670,1500,6000,2000,0,0,567,0,18,9.2,Room Temp,Standard,ColdPharm RO,România,21.00,30.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-013,AllergyMax,OTC,Allergy,ALL-013-10MG,2024-01-11,2027-01-11,BATCH-2024-013,Brăila Regional,3450,800,4000,1200,0,0,345,0,10,10.1,Room Temp,Standard,AllergyPharm RO,România,28.00,40.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-014,SleepAid,OTC,Sleep,SLE-014-5MG,2024-01-13,2026-01-13,BATCH-2024-014,Oradea Regional,2340,600,3000,900,0,0,234,0,7,12.4,Room Temp,Standard,SleepPharm RO,România,31.50,45.00,30.0%,2024-01-30,Active,Passed,Compliant
PROD-015,DigestAid,OTC,Digestive Health,DIG-015-100MG,2024-01-17,2027-01-17,BATCH-2024-015,Arad Regional,4560,1200,5000,1800,0,0,456,0,14,9.8,Room Temp,Standard,DigestPharm RO,România,24.50,35.00,30.0%,2024-01-30,Active,Passed,Compliant 
