Product_ID,Product_Name,Registration_Number,ANM_Approval_Date,Expiry_Date,Manufacturing_License,Good_Manufacturing_Practice,Quality_Control_Lab,Stability_Testing,Pharmacovigilance_Status,Adverse_Event_Reports,Serious_Adverse_Events,Product_Recalls,Compliance_Score,Last_Audit_Date,Next_Audit_Date,Audit_Findings,Corrective_Actions,Regulatory_Submissions,Pending_Approvals,Market_Authorization_Status,Import_Export_License,Storage_License,Distribution_License,Clinical_Trial_Authorization,Post_Marketing_Surveillance,Labeling_Compliance,Packaging_Compliance,Documentation_Status
PROD-001,CardioMax,RO-ANM-2024-001,2024-01-15,2029-01-15,LIC-MAN-001,Compliant,QC-LAB-001,Passed,Active,45,8,0,95.2%,2024-01-10,2024-07-10,Minor findings,Completed,5,1,Authorized,LIC-IMP-001,LIC-STOR-001,LIC-DIST-001,CTA-001,Active,Compliant,Compliant,Complete
PROD-002,NeuroVent,RO-ANM-2024-002,2024-01-10,2028-01-10,LIC-MAN-002,Compliant,QC-LAB-002,Passed,Active,32,5,0,96.8%,2024-01-05,2024-07-05,No findings,None,3,0,Authorized,LIC-IMP-002,LIC-STOR-002,LIC-DIST-002,CTA-002,Active,Compliant,Compliant,Complete
PROD-003,ImmunoBoost,RO-ANM-2024-003,2024-01-20,2029-01-20,LIC-MAN-003,Compliant,QC-LAB-003,Passed,Active,67,12,1,92.1%,2024-01-15,2024-07-15,Major findings,In Progress,4,2,Authorized,LIC-IMP-003,LIC-STOR-003,LIC-DIST-003,CTA-003,Active,Compliant,Compliant,Complete
PROD-004,OncoTarget,RO-ANM-2024-004,2024-01-05,2027-01-05,LIC-MAN-004,Compliant,QC-LAB-004,Passed,Active,23,4,0,97.5%,2024-01-01,2024-07-01,Minor findings,Completed,2,0,Authorized,LIC-IMP-004,LIC-STOR-004,LIC-DIST-004,CTA-004,Active,Compliant,Compliant,Complete
PROD-005,RespiraMax,RO-ANM-2024-005,2024-01-12,2028-01-12,LIC-MAN-005,Compliant,QC-LAB-005,Passed,Active,38,6,0,94.7%,2024-01-08,2024-07-08,Minor findings,Completed,3,1,Authorized,LIC-IMP-005,LIC-STOR-005,LIC-DIST-005,CTA-005,Active,Compliant,Compliant,Complete
PROD-006,EndoCare,RO-ANM-2024-006,2024-01-18,2029-01-18,LIC-MAN-006,Compliant,QC-LAB-006,Passed,Active,51,9,0,93.2%,2024-01-12,2024-07-12,Minor findings,In Progress,4,0,Authorized,LIC-IMP-006,LIC-STOR-006,LIC-DIST-006,CTA-006,Active,Compliant,Compliant,Complete
PROD-007,DermaCure,RO-ANM-2024-007,2024-01-08,2028-01-08,LIC-MAN-007,Compliant,QC-LAB-007,Passed,Active,29,5,0,96.1%,2024-01-03,2024-07-03,No findings,None,2,0,Authorized,LIC-IMP-007,LIC-STOR-007,LIC-DIST-007,CTA-007,Active,Compliant,Compliant,Complete
PROD-008,PsychoMed,RO-ANM-2024-008,2024-01-25,2029-01-25,LIC-MAN-008,Compliant,QC-LAB-008,Passed,Active,42,7,0,94.8%,2024-01-20,2024-07-20,Minor findings,Completed,3,1,Authorized,LIC-IMP-008,LIC-STOR-008,LIC-DIST-008,CTA-008,Active,Compliant,Compliant,Complete
PROD-009,GastroHeal,RO-ANM-2024-009,2024-01-14,2028-01-14,LIC-MAN-009,Compliant,QC-LAB-009,Passed,Active,35,6,0,95.6%,2024-01-09,2024-07-09,Minor findings,Completed,3,0,Authorized,LIC-IMP-009,LIC-STOR-009,LIC-DIST-009,CTA-009,Active,Compliant,Compliant,Complete
PROD-010,VitaBoost,RO-ANM-2024-010,2024-01-22,2030-01-22,LIC-MAN-010,Compliant,QC-LAB-010,Passed,Active,18,2,0,98.3%,2024-01-17,2024-07-17,No findings,None,1,0,Authorized,LIC-IMP-010,LIC-STOR-010,LIC-DIST-010,CTA-010,Active,Compliant,Compliant,Complete
PROD-011,PainRelief,RO-ANM-2024-011,2024-01-16,2028-01-16,LIC-MAN-011,Compliant,QC-LAB-011,Passed,Active,25,4,0,96.9%,2024-01-11,2024-07-11,Minor findings,Completed,2,0,Authorized,LIC-IMP-011,LIC-STOR-011,LIC-DIST-011,CTA-011,Active,Compliant,Compliant,Complete
PROD-012,ColdCare,RO-ANM-2024-012,2024-01-19,2028-01-19,LIC-MAN-012,Compliant,QC-LAB-012,Passed,Active,31,5,0,95.4%,2024-01-14,2024-07-14,Minor findings,Completed,2,0,Authorized,LIC-IMP-012,LIC-STOR-012,LIC-DIST-012,CTA-012,Active,Compliant,Compliant,Complete
PROD-013,AllergyMax,RO-ANM-2024-013,2024-01-11,2029-01-11,LIC-MAN-013,Compliant,QC-LAB-013,Passed,Active,22,3,0,97.1%,2024-01-06,2024-07-06,No findings,None,2,0,Authorized,LIC-IMP-013,LIC-STOR-013,LIC-DIST-013,CTA-013,Active,Compliant,Compliant,Complete
PROD-014,SleepAid,RO-ANM-2024-014,2024-01-13,2028-01-13,LIC-MAN-014,Compliant,QC-LAB-014,Passed,Active,28,4,0,96.2%,2024-01-08,2024-07-08,Minor findings,Completed,2,0,Authorized,LIC-IMP-014,LIC-STOR-014,LIC-DIST-014,CTA-014,Active,Compliant,Compliant,Complete
PROD-015,DigestAid,RO-ANM-2024-015,2024-01-17,2029-01-17,LIC-MAN-015,Compliant,QC-LAB-015,Passed,Active,33,5,0,95.8%,2024-01-12,2024-07-12,Minor findings,Completed,2,0,Authorized,LIC-IMP-015,LIC-STOR-015,LIC-DIST-015,CTA-015,Active,Compliant,Compliant,Complete 
